place_id,estado,lat,lon,precio_magna,precio_premium,precio_diesel,nombre,cre_id
3188,Jalisco,20.32265,-102.5119,23.99,29.89,28.89,CALUFER SA DE CV,PL/1734/EXP/ES/2015
3329,Jalisco,20.3006,-102.5381,23.99,28.59,,DISTRIBUIDORA ABREVADERO SA DE CV,PL/1733/EXP/ES/2015
3570,Jalisco,20.29376,-102.6825,23.99,,,CEFEVIG SA DE CV,PL/1732/EXP/ES/2015
3410,Hidalgo,19.83448,-98.94162,23.99,28.64,27.99,GRUPO GASOLINERO TH SA DE CV,PL/1731/EXP/ES/2015
3554,Oaxaca,16.48846,-95.04387,23.7,,27.0,COMBUSTIBLES SANTA CRUZ MAGARIÑO SA DE CV,PL/1730/EXP/ES/2015
3518,Mexico,19.92083,-100.0126,23.99,28.34,27.69,SERVICIO SANTA MARIA CANCHESDA SA DE CV,PL/1729/EXP/ES/2015
3378,Hidalgo,20.0702,-98.71516,23.19,27.79,,ESTACION SANTA MARIA LA PROVIDENCIA SA DE CV,PL/1728/EXP/ES/2015
3460,Morelos,18.91669,-98.89527,23.8,28.6,27.0,ESTACION DE SERVICIO EL SALTO SA DE CV,PL/1727/EXP/ES/2015
3256,Jalisco,20.66939,-103.453,23.98,29.99,27.99,SUPER SERVICIO CIUDAD GRANJA SA DE CV,PL/1726/EXP/ES/2015
3648,Jalisco,20.71266,-103.382,23.99,28.69,,SERVICIO PATRIA SA DE CV,PL/1725/EXP/ES/2015
3313,San Luis Potosi,22.20645,-101.0106,23.99,28.89,27.5,SERVICIO TORNADO SA DE CV,PL/1724/EXP/ES/2015
3417,Ciudad de Mexico,19.4665,-99.14008,23.99,29.49,,SERVICIO CLAVE S DE RL DE CV,PL/1723/EXP/ES/2015
3483,Chihuahua,28.60008,-106.1024,23.99,28.99,,PETROMAX SA DE CV,PL/1722/EXP/ES/2015
3524,Hidalgo,20.06806,-98.74478,,,27.0,SERVICIO DUBLIN SA DE CV,PL/1721/EXP/ES/2015
3542,Chihuahua,28.65872,-106.1029,23.99,28.99,,SERVICIO AMERICAS SA DE CV,PL/1720/EXP/ES/2015
3527,Jalisco,20.72843,-103.3535,23.99,29.85,,GASOLINERA LA MORENA SA DE CV,PL/1719/EXP/ES/2015
3191,Chihuahua,28.63337,-106.0764,23.69,27.99,,RAPIGAS DEL CENTRO SA DE CV,PL/1718/EXP/ES/2015
10938,Nuevo Leon,25.93134,-100.2263,23.99,29.79,28.28,ESTACION EL SESTEO SA DE CV,PL/1717/EXP/ES/2015
3649,Nayarit,23.23933,-106.378,23.99,28.79,,PETROMAR DEL PACIFICO SA DE CV,PL/1716/EXP/ES/2015
3530,Ciudad de Mexico,19.59318,-99.28056,23.29,27.59,27.89,CARGA COMBUSTIBLES SA DE CV,PL/1715/EXP/ES/2015
3365,Ciudad de Mexico,19.50356,-99.04985,23.99,28.29,,INMUEBLES VENTA DE CARPIO SA DE CV,PL/1714/EXP/ES/2015
3675,Michoacan,19.41358,-102.0523,23.99,28.99,28.28,COMBU-EXPRESS SA DE CV,PL/1713/EXP/ES/2015
3479,Jalisco,20.48913,-103.4926,23.99,29.99,28.99,ORGANIZACION LA LUNA SA DE CV,PL/1712/EXP/ES/2015
3566,Ciudad de Mexico,19.7098,-99.14212,23.99,28.49,,INMOBILIARIA SUGARSU SA DE CV,PL/1711/EXP/ES/2015
3463,San Luis Potosi,21.87517,-101.5741,23.99,28.99,,COMBUSTIBLES Y LUBRICANTES OJUELOS SA DE CV,PL/1710/EXP/ES/2015
3619,Guanajuato,20.55286,-101.204,24.19,,,SERVICIO AGAVE SA DE CV,PL/1709/EXP/ES/2015
3665,Durango,23.26572,-106.3904,23.99,28.79,,PETROMAR DEL PACIFICO SA DE CV,PL/1708/EXP/ES/2015
3561,Nayarit,23.23971,-106.4457,23.99,28.79,,PETROMAR DEL PACIFICO SA DE CV,PL/1707/EXP/ES/2015
3608,San Luis Potosi,21.86086,-101.5934,23.99,28.99,,COMBUSTIBLES Y LUBRICANTES OJUELOS SA DE CV,PL/1706/EXP/ES/2015
3599,Sinaloa,22.90346,-109.9335,24.49,29.69,,ESTACIONES DE SERVICIO PENINSULARES SA DE CV,PL/1705/EXP/ES/2015
3375,Sinaloa,23.08076,-109.7075,24.49,29.69,27.99,ESTACIONES DE SERVICIO PENINSULARES SA DE CV,PL/1704/EXP/ES/2015
3195,Sinaloa,22.9073,-109.9642,24.49,29.69,27.99,ESTACIONES DE SERVICIO PENINSULARES SA DE CV,PL/1703/EXP/ES/2015
3544,Queretaro,20.88853,-100.7631,23.99,27.99,27.0,SERVICIO JUMAY SA DE CV,PL/1702/EXP/ES/2015
3581,Colima,19.21511,-103.8039,23.78,28.89,28.28,GARMU GRUPO ENERGETICOS SA DE CV,PL/1701/EXP/ES/2015
3324,Nayarit,20.62188,-105.2225,24.47,28.99,28.0,SERVICIOS GASORO SA DE CV,PL/1700/EXP/ES/2015
3184,San Luis Potosi,22.10983,-100.9607,23.99,28.5,27.5,GASOLINERAS ASOCIADAS POTOSINAS SA DE CV,PL/1699/EXP/ES/2015
3661,Nuevo Leon,25.87509,-100.2277,23.99,29.99,28.28,SERVICIO EXPRESS AEROPUERTO SA DE CV,PL/1698/EXP/ES/2015
3616,Jalisco,20.28879,-103.907,23.99,29.99,28.99,ORGANIZACION LA LUNA SA DE CV,PL/1697/EXP/ES/2015
3310,Ciudad de Mexico,19.53954,-99.15462,23.78,28.48,,DIECEL GASOLINAS SA DE CV,PL/1696/EXP/ES/2015
3288,Guanajuato,21.1338,-101.6872,24.99,29.99,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,PL/1695/EXP/ES/2015
3374,Guanajuato,21.14681,-101.7034,23.99,29.99,27.0,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,PL/1694/EXP/ES/2015
3644,Queretaro,20.5295,-100.4409,23.79,28.49,,"DIGEPE, S.A. DE C.V. (07356)",PL/1693/EXP/ES/2015
3427,Guanajuato,20.65398,-101.3708,23.99,28.99,27.0,GASOLINERA INSURGENTES SA DE CV,PL/1692/EXP/ES/2015
3673,Mexico,19.28985,-99.64745,22.77,28.49,,LAS MEJORES ESTACIONES SA DE CV,PL/1691/EXP/ES/2015
3401,Puebla,18.89199,-97.74451,23.27,28.29,27.99,"DIGEPE, S.A. DE C.V. (07356)",PL/1690/EXP/ES/2015
3397,Hidalgo,19.87881,-98.93965,23.9,28.29,27.7,ESTACION EL CID SA DE CV,PL/1689/EXP/ES/2015
3291,Jalisco,20.72926,-103.5403,23.97,29.27,26.97,CORPORATIVO VENTA DEL ASTILLERO SA DE CV,PL/1688/EXP/ES/2015
3601,Michoacan,18.36585,-102.2919,24.0,27.95,28.0,SANALIN SA DE CV,PL/1687/EXP/ES/2015
3567,Ciudad de Mexico,19.61072,-99.19093,23.89,28.89,28.79,SERVICIO PUENTE CONTADERO SA DE CV,PL/1686/EXP/ES/2015
3538,Yucatan,20.50853,-87.71854,24.93,,28.48,INMOBILIARIA RUINAS DE COBA SA DE CV,PL/1685/EXP/ES/2015
3398,Quintana Roo,18.49731,-88.30573,23.99,27.98,28.28,INMOBILIARIA KUKULKAN S.A. DE C.V.,PL/1684/EXP/ES/2015
3249,Yucatan,20.66055,-87.06979,24.94,28.83,,INMOBILIARIA TRES ISLAS S.A.D E C.V.,PL/1683/EXP/ES/2015
3588,Yucatan,21.13387,-86.82677,24.93,28.83,,ESTACION DE SERVICIO LA COSTA SA DE CV,PL/1682/EXP/ES/2015
3293,Yucatan,20.65759,-87.07983,24.94,28.83,28.49,GASOLINERIA LA CRUZ DE SERVICIO SA DE CV,PL/1681/EXP/ES/2015
3442,Quintana Roo,20.21315,-87.45746,24.94,28.73,28.48,INMOBILIARIA GLADIOLAS SA DE CV,PL/1680/EXP/ES/2015
3363,Guanajuato,20.78841,-101.3294,23.99,29.99,28.0,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,PL/1679/EXP/ES/2015
3176,Nayarit,23.23355,-106.4099,23.99,28.79,,PETROMAR DEL PACIFICO SA DE CV,PL/1678/EXP/ES/2015
3678,Nayarit,23.25292,-106.3879,23.99,28.79,,PETROMAR DEL PACIFICO SA DE CV,PL/1677/EXP/ES/2015
3622,Mexico,19.7869,-99.87447,23.99,28.29,28.0,INMOBILIARIA HEMAJO DE ATLACOMULCO SA DE CV,PL/1676/EXP/ES/2015
